Barcode,Product Name,Packing Size String,Packing Size,Packing Calc,Previous Price,Discount,Pack Price,Supplier,Selling Price,Promotion Price,Other,Filename
,GILLETTE SHAVING FOAM CLASSIC,200ML x 6,6.0,1 × 6 = 6,12.5,0.0,12.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,AER CAR FRESHENER COOL AQUA,7.5GM x 4 x 15,60.0,1 × 4 × 15 = 60,52.5,0.0,52.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,AER CAR FRESHENER MUSK AFTER SMOKE,7.5GM x 4 x 15,60.0,1 × 4 × 15 = 60,52.5,0.0,52.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,AER CAR FRESHENER ROSE BLOSSOM,7.5GM x 4 x 15,60.0,1 × 4 × 15 = 60,52.5,0.0,52.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,LIFEBUOY BODYWASH (INDIA) COOL FRESH,1LTR x 12,12.0,1 × 12 = 12,45.9,0.0,45.9,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,LIFEBUOY BODYWASH (INDIA) LEMON FRESH,1LTR x 12,12.0,1 × 12 = 12,45.9,0.0,45.9,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REVLON COLORSILK NEW #10 BLACK (NBC),1 x 12,12.0,1 × 12 = 12,37.08,0.0,37.08,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REVLON COLORSILK NEW #11 SOFT BLACK,1 x 12,12.0,1 × 12 = 12,37.08,0.0,37.08,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REVLON COLORSILK NEW #20 BROWN BLACK (NBC),1 x 12,12.0,1 × 12 = 12,37.08,0.0,37.08,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REVLON COLORSILK NEW #30 DARK BROWN (NBC),1 x 12,12.0,1 × 12 = 12,37.08,0.0,37.08,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REVLON COLORSILK NEW #33 DARK SOFT BROWN (NBC),1 x 12,12.0,1 × 12 = 12,37.08,0.0,37.08,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REVLON COLORSILK NEW #41 MEDIUM BROWN (NBC),1 x 12,12.0,1 × 12 = 12,37.08,0.0,37.08,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REVLON COLORSILK NEW #50 LIGHT ASH BROWN (NBC),1 x 12,12.0,1 × 12 = 12,37.08,0.0,37.08,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REVLON COLORSILK NEW #54 LIGHT GOLDEN BROWN (NBC),1 x 12,12.0,1 × 12 = 12,37.08,0.0,37.08,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,SCHICK DISPOSABLE RAZOR EXACTAZ SENSITIVE,(7+3) x 12,12.0,(1) × 12 = 12,43.44,0.0,43.44,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,VASELINE P/JELLY (SOUTH AFRICA) ORIGINAL,100ML x 144,144.0,1 × 144 = 144,151.65,0.0,151.65,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,GLADE SCENTED GEL LAVENDER,165GM x 12,12.0,1 × 12 = 12,21.31,0.0,21.31,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,HARPIC TOILET CLEANER (MY) POWER PLUS ORIGINAL,450ML x 12,12.0,1 × 12 = 12,13.8,0.0,13.8,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,HARPIC TOILET CLEANER (MY) LAVENDER,500ML x 12,12.0,1 × 12 = 12,13.8,0.0,13.8,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,HARPIC TOILET CLEANER (MY) LEMON,500ML x 12,12.0,1 × 12 = 12,13.8,0.0,13.8,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,LIFEBUOY BODYWASH (INDIA),1LTR x 12,12.0,1 × 12 = 12,45.9,0.0,45.9,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,KINDER BUENO CHOCOLATE,T2 x 15 x 8,120.0,1 × 15 × 8 = 120,108.0,0.0,108.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,CIF CREAM (INDO) LEMON,660GM x 16,16.0,1 × 16 = 16,18.5,0.0,18.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,CIF CREAM (INDO) WHITE,660GM x 16,16.0,1 × 16 = 16,18.5,0.0,18.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REXONA ROLL ON (PHIL) ICE COOL M (PI),45ML x 24,24.0,1 × 24 = 24,24.5,0.0,24.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REXONA ROLL ON (PHIL) PASSION W (PI),45ML x 24,24.0,1 × 24 = 24,24.5,0.0,24.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REXONA ROLL ON (PHIL) QUANTUM M (PI),45ML x 24,24.0,1 × 24 = 24,24.5,0.0,24.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REXONA ROLL ON (PHIL) SHOWER CLEAN W (PI),45ML x 24,24.0,1 × 24 = 24,24.5,0.0,24.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REXONA ROLL ON (PHIL) SUNFLOWER CARE W (PI),45ML x 24,24.0,1 × 24 = 24,24.5,0.0,24.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,CADBURY MILK MOULDED BAR FRUIT & NUT,130GM x 12 x 6,72.0,1 × 12 × 6 = 72,125.0,0.0,125.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,CADBURY MILK MOULDED BAR ROAST ALMOND,130GM x 12 x 6,72.0,1 × 12 × 6 = 72,125.0,0.0,125.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,CADBURY MILK MOULDED BAR MILK,135GM x 12 x 6,72.0,1 × 12 × 6 = 72,125.0,0.0,125.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,MARS CHOCOLATE (EU) MINIS,227GM x 24,24.0,1 × 24 = 24,59.0,0.0,59.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,CREAMSILK CONDITIONER (PHL) ULTIMATE REPAIR & SHINE,170ML x 24,24.0,1 × 24 = 24,58.55,0.0,58.55,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,CREAMSILK CONDITIONER (PHL) ULTIMATE STRAIGHT,170ML x 24,24.0,1 × 24 = 24,58.55,0.0,58.55,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE BODYWASH (INDIA) LAVENDER (NFS),1LTR x 12,12.0,1 × 12 = 12,48.65,0.0,48.65,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE BODYWASH (INDIA) ROSE (NFS),1LTR x 12,12.0,1 × 12 = 12,48.65,0.0,48.65,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE DEO (AR-NFS) ORIGINAL,150ML x 12,12.0,1 × 12 = 12,24.0,0.0,24.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE FACE WASH (INDO) DEEP PURE,100GM x 24,24.0,1 × 24 = 24,40.4,0.0,40.4,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE SHAMPOO (UAE) DAILY CARE 2IN1 (NFS),200ML x 24,24.0,1 × 24 = 24,31.2,0.0,31.2,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE SHAMPOO (UAE) HAIR FALL RESCUE (NFS),400ML x 12,12.0,1 × 12 = 12,28.35,0.0,28.35,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE SHAMPOO (UAE) INTENSIVE REPAIR (NFS),400ML x 12,12.0,1 × 12 = 12,28.35,0.0,28.35,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE SHAMPOO (UAE) MOISTURIZING (NFS),400ML x 12,12.0,1 × 12 = 12,28.35,0.0,28.35,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,SNICKERS CHOCOLATE (BR) SINGLES,30GM x 12 x 20,240.0,1 × 12 × 20 = 240,76.8,0.0,76.8,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,GLADE SCENTED GEL APPLE,180GM x 12,12.0,1 × 12 = 12,21.31,0.0,21.31,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,TWIX CHOCOLATE (EGYPT) TWIN,50GM x 10 x 24,240.0,1 × 10 × 24 = 240,115.0,0.0,115.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,SNICKERS CHOCOLATE (EGYPT) SINGLES,40GM x 12 x 24,288.0,1 × 12 × 24 = 288,132.6,0.0,132.6,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,BISCUIT CHEESE CRACKER,100GMX12PCKS,12.0,1 × 12 = 12,7.0,0.0,7.0,BISCOTTI TRADING PTE LTD,7.0,7.0,,BISCOTTI TRADING JAN TO MAY.pdf
,COLADA BIS.CORNIVAL NAIYU,240GMX12PCKS,12.0,1 × 12 = 12,13.4,0.0,13.4,BISCOTTI TRADING PTE LTD,13.4,13.4,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUIT CREAM CRACKER SP,88GMX24PCK,24.0,1 × 24 = 24,8.1,0.0,8.1,BISCOTTI TRADING PTE LTD,8.1,8.1,,BISCOTTI TRADING JAN TO MAY.pdf
,BIS.GRAND BUTTER CRACKER,200GMX12PCK,12.0,1 × 12 = 12,13.4,0.0,13.4,BISCOTTI TRADING PTE LTD,13.4,13.4,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUIT MEFAR LEMON FLAVOURED,114GMX12PCK,12.0,1 × 12 = 12,9.1,0.0,9.1,BISCOTTI TRADING PTE LTD,9.1,9.1,,BISCOTTI TRADING JAN TO MAY.pdf
,BIS.COLADA LIGHT TREAT C.C SP,200GMX12PCK,12.0,1 × 12 = 12,13.4,0.0,13.4,BISCOTTI TRADING PTE LTD,13.4,13.4,,BISCOTTI TRADING JAN TO MAY.pdf
,COLADA LIGHT TREAT C.C SP,200GMX24PCKS,24.0,1 × 24 = 24,26.8,0.0,26.8,BISCOTTI TRADING PTE LTD,26.8,26.8,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUIT MEFAR COCO SANDWICH,111GMX12PCKS,12.0,1 × 12 = 12,9.1,0.0,9.1,BISCOTTI TRADING PTE LTD,9.1,9.1,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUIT MEFAR COFFEE SAND.,120GMX12PCK,12.0,1 × 12 = 12,13.8,0.0,13.8,BISCOTTI TRADING PTE LTD,13.8,13.8,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUIT PINEAPPLE JAM,120GMX12PCK,12.0,1 × 12 = 12,7.0,0.0,7.0,BISCOTTI TRADING PTE LTD,7.0,7.0,,BISCOTTI TRADING JAN TO MAY.pdf
,COLADA BIS SWEETIES SUGAR C/KER,200GMX12PCK,12.0,1 × 12 = 12,13.4,0.0,13.4,BISCOTTI TRADING PTE LTD,13.4,13.4,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUIT LAVISH CHEESE S/WICH,190GMX12PCK,12.0,1 × 12 = 12,13.4,0.0,13.4,BISCOTTI TRADING PTE LTD,13.4,13.4,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUIT LAVISH CHOCOLATE S/WICH,190GMX12PCK,12.0,1 × 12 = 12,13.4,0.0,13.4,BISCOTTI TRADING PTE LTD,13.4,13.4,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUIT LAVISH PEANUT BUTTER S/WISH,190GMX12PCK,12.0,1 × 12 = 12,13.4,0.0,13.4,BISCOTTI TRADING PTE LTD,13.4,13.4,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUIT LAVISH VEGETABLE CRACKER,200GMX12PCK,12.0,1 × 12 = 12,12.4,0.0,12.4,BISCOTTI TRADING PTE LTD,12.4,12.4,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUIT MEFAR CHOCOLATE SANDWICH,114GMX12PCK,12.0,1 × 12 = 12,9.1,0.0,9.1,BISCOTTI TRADING PTE LTD,9.1,9.1,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUIT MEFAR CORN FLAVOURED,120GMX12PCK,12.0,1 × 12 = 12,9.1,0.0,9.1,BISCOTTI TRADING PTE LTD,9.1,9.1,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUT POPCORN CRACKER,175GMX10PCK,10.0,1 × 10 = 10,7.2,0.0,7.2,BISCOTTI TRADING PTE LTD,7.2,7.2,,BISCOTTI TRADING JAN TO MAY.pdf
,BISCUIT SUGAR CRACKER,152GMX10PCK,10.0,1 × 10 = 10,6.8,0.0,6.8,BISCOTTI TRADING PTE LTD,6.8,6.8,,BISCOTTI TRADING JAN TO MAY.pdf
,CAMMER LAUNDRY FLORAL,4.2KG x 4,4.0,1 × 4 = 4,131.25,0.0,131.25,CAMMER INDUSTRIES SDN. BHD.,0.0,0.0,,CAMMER INDUSTRIES.pdf
,CAMMER LAUNDRY LAVENDER,4.2KG x 4,4.0,1 × 4 = 4,131.25,0.0,131.25,CAMMER INDUSTRIES SDN. BHD.,0.0,0.0,,CAMMER INDUSTRIES.pdf
,CAMMER TOILET BOWL CLEANER,500ML x 24,24.0,1 × 24 = 24,135.0,0.0,135.0,CAMMER INDUSTRIES SDN. BHD.,0.0,0.0,,CAMMER INDUSTRIES.pdf
,SURIA PLUS DISH PASTE 800G LEMON,12 x 800g,12.0,12 × 1 = 12,105.0,0.0,105.0,CAMMER INDUSTRIES SDN. BHD.,0.0,0.0,,CAMMER INDUSTRIES.pdf
,SURIA PLUS DISH PASTE 800G LIME,12 x 800g,12.0,12 × 1 = 12,105.0,0.0,105.0,CAMMER INDUSTRIES SDN. BHD.,0.0,0.0,,CAMMER INDUSTRIES.pdf
,CWM BLACK PLUM SLICE,10x70G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM CHERRY PLUM,10x80G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM CURED PRUNE,10x50G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM PEACH DICE,10x70G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM LEMON KUMQUAT,10x70G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM SEEDLESS LICORICE OLIVES,10x60G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM PAPAYA,10x110G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM PRUNE FLESH,10x60G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM PRESERVED PLUM,10x80G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM ORANGE PEEL MANDARIN,10x70G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM RED SEEDLESS PLUM,10x70G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM SEEDLESS PLUM,10x70G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM SI QIN MEI,10x80G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM SEEDLESS PRUNE,10x30G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM S'BERRY PRUNE (DRIED),10x70G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM WHITE PRUNE,10x70G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,CWM SMALL WHITE PRUNE,10x70G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,YAN YAN STRAWBERRY,10x50G/44G 8 OUT/CTN,80.0,10 × 1 × 8 = 80,7.7,0.0,61.6,CANDY WORLD MARKETING (S) PTE. LTD.,7.7,7.7,,CANDY WORLD JAN TO MAY.pdf
,YAN YAN VANILLA,10x50G/44G (CUP) 8 OUT/CTN,80.0,10 × 1 × (1) × 8 = 80,7.7,0.0,61.6,CANDY WORLD MARKETING (S) PTE. LTD.,7.7,7.7,,CANDY WORLD JAN TO MAY.pdf
,POLA SNACK ORIGINAL,10 x 15G,10.0,10 × 1 = 10,14.0,0.0,14.0,CANDY WORLD MARKETING (S) PTE. LTD.,14.0,14.0,,CANDY WORLD JAN TO MAY.pdf
,POLA SNACK SEAWEED,10 x 15G,10.0,10 × 1 = 10,14.0,0.0,14.0,CANDY WORLD MARKETING (S) PTE. LTD.,14.0,14.0,,CANDY WORLD JAN TO MAY.pdf
,CHEWY GINGER,20PKT x 125G,20.0,20 × 1 = 20,240.0,0.0,240.0,CANDY WORLD MARKETING (S) PTE. LTD.,240.0,240.0,,CANDY WORLD JAN TO MAY.pdf
,NFC MULBERRY JUICE,8 x 100ML,8.0,8 × 1 = 8,7.0,0.0,7.0,CANDY WORLD MARKETING (S) PTE. LTD.,7.0,7.0,,CANDY WORLD JAN TO MAY.pdf
,LAVA BITES BUTTER CHOCO,15x200G 15BOXES/CTN,15.0,15 × 1 × 1 = 15,39.0,0.0,39.0,CANDY WORLD MARKETING (S) PTE. LTD.,39.0,39.0,,CANDY WORLD JAN TO MAY.pdf
,LAVA BITES COOKIE CREAM,15x150G 15BOXES/CTN,15.0,15 × 1 × 1 = 15,39.0,0.0,39.0,CANDY WORLD MARKETING (S) PTE. LTD.,39.0,39.0,,CANDY WORLD JAN TO MAY.pdf
,LAVA BITES DOUBLE CHOCO,15x200G 15BOXES/CTN,15.0,15 × 1 × 1 = 15,39.0,0.0,39.0,CANDY WORLD MARKETING (S) PTE. LTD.,39.0,39.0,,CANDY WORLD JAN TO MAY.pdf
,LAVA BITES HOJICHA CREAM,15x150G 15BOXES/CTN,15.0,15 × 1 × 1 = 15,39.0,0.0,39.0,CANDY WORLD MARKETING (S) PTE. LTD.,39.0,39.0,,CANDY WORLD JAN TO MAY.pdf
,LAVA BITES MATCHA,15x200G 15BOXES/CTN,15.0,15 × 1 × 1 = 15,39.0,0.0,39.0,CANDY WORLD MARKETING (S) PTE. LTD.,39.0,39.0,,CANDY WORLD JAN TO MAY.pdf
,LAVA BITES MATCHA STRAWBERRY,15x150G 15BOXES/CTN,15.0,15 × 1 × 1 = 15,39.0,0.0,39.0,CANDY WORLD MARKETING (S) PTE. LTD.,39.0,39.0,,CANDY WORLD JAN TO MAY.pdf
,LAVA BITES STRAWBERRY,15x200G 15BOXES/CTN,15.0,15 × 1 × 1 = 15,39.0,0.0,39.0,CANDY WORLD MARKETING (S) PTE. LTD.,39.0,39.0,,CANDY WORLD JAN TO MAY.pdf
,YAN YAN CHOCOLATE,10x50G/44G 8 OUT/CTN,80.0,10 × 1 × 8 = 80,7.7,0.0,61.6,CANDY WORLD MARKETING (S) PTE. LTD.,7.7,7.7,,CANDY WORLD JAN TO MAY.pdf
,NUTELLA & GO,12X48G 4 Outctn,48.0,12 × 1 × 4 = 48,19.0,0.0,76.0,CANDY WORLD MARKETING (S) PTE. LTD.,19.0,19.0,,CANDY WORLD JAN TO MAY.pdf
,CWM ORANGE PEEL,10 x 70G,10.0,10 × 1 = 10,8.0,0.0,8.0,CANDY WORLD MARKETING (S) PTE. LTD.,8.0,8.0,,CANDY WORLD JAN TO MAY.pdf
,POLA SNACK ORIGINAL (PKT),10x(10x15g),10.0,10 × (1 × 1) = 10,14.0,0.0,14.0,CANDY WORLD MARKETING (S) PTE. LTD.,0.0,0.0,,CANDY WORLD JAN TO MAY.pdf
,POLA SNACK SEAWEED (PKT),10x(10x15g),10.0,10 × (1 × 1) = 10,14.0,0.0,14.0,CANDY WORLD MARKETING (S) PTE. LTD.,0.0,0.0,,CANDY WORLD JAN TO MAY.pdf
,CHEWY GINGER (ORI),4 (20PKT X 125G) 4PKGCTN,80.0,4 × (20 × 1) × 1 = 80,240.0,0.0,240.0,CANDY WORLD MARKETING (S) PTE. LTD.,0.0,0.0,,CANDY WORLD JAN TO MAY.pdf
,NFC MULBERRY JUICE (PKT),8x100ML 8PUT/CTN,8.0,8 × 1 × 1 = 8,7.0,0.0,7.0,CANDY WORLD MARKETING (S) PTE. LTD.,0.0,0.0,,CANDY WORLD JAN TO MAY.pdf
,Coffeehock Coffee-O Kosong Mixture Bags,8s x 10g,8.0,8 × 1 = 8,0.95,0.0,0.95,COFFEEHOCK (2006) PTE. LTD.,0.95,0.95,,COFFEE HOCK JAN TO MAY.pdf
,Coffeehock 2in1 Coffee-O Mixture Bag with Less Sugar,8s,8.0,8 = 8,0.95,0.0,0.95,COFFEEHOCK (2006) PTE. LTD.,0.95,0.95,,COFFEE HOCK JAN TO MAY.pdf
,Coffeehock 2in1 Less Sugar Teh-O Ceylon Tea Bag with Brown Raw Sugar,10s,10.0,10 = 10,0.95,0.0,0.95,COFFEEHOCK (2006) PTE. LTD.,0.95,0.95,,COFFEE HOCK JAN TO MAY.pdf
,BAYGON AEROSOL MIK TWINPACK,6 x 2 x 600ml,12.0,6 × 2 × 1 = 12,74.77,0.0,74.77,DKSH SINGAPORE PTE. LTD.,81.0,81.0,,DKSH.pdf
,BAYGON MIK AEROSOL,12 x 300ml,12.0,12 × 1 = 12,46.5,0.0,46.5,DKSH SINGAPORE PTE. LTD.,50.37,50.37,,DKSH.pdf
,BAYGON DEFENSE FIK,12 x 600ml,12.0,12 × 1 = 12,54.65,0.0,54.65,DKSH SINGAPORE PTE. LTD.,59.21,59.21,,DKSH.pdf
,Cat's Taste:Purrfect Balance Tuna in Gravy,1,1.0,1 = 1,0.97,0.0,0.97,DP PETS,0.97,0.97,,DP PETS JAN TO MAY.pdf
,Cat's Taste:Purrfect Balance Tuna topped with Chicken in Gravy,1,1.0,1 = 1,0.97,0.0,0.97,DP PETS,0.97,0.97,,DP PETS JAN TO MAY.pdf
,Cat's Taste:Purrfect Balance Tuna topped with Salmon in Gravy,1,1.0,1 = 1,0.97,0.0,0.97,DP PETS,0.97,0.97,,DP PETS JAN TO MAY.pdf
,Cat's Taste:Purrfect Balance Tuna topped with Duck in Gravy,1,1.0,1 = 1,0.97,0.0,0.97,DP PETS,0.97,0.97,,DP PETS JAN TO MAY.pdf
